"","column_names","column_sums","avg_rat","week"
"5.52","05:30",283,3.77518130539887,"Wednesday"
"62","06:00",481,3.83568075117371,"Wednesday"
"6.52","06:30",560,3.86269256530476,"Wednesday"
"72","07:00",1189,3.70759137769447,"Wednesday"
"7.52","07:30",1258,3.74859075535513,"Wednesday"
"82","08:00",1822,3.76392961876833,"Wednesday"
"8.52","08:30",1924,3.76068376068376,"Wednesday"
"92","09:00",2907,3.71457085828343,"Wednesday"
"9.52","09:30",3005,3.73877551020408,"Wednesday"
"102","10:00",4057,3.71975806451613,"Wednesday"
"10.52","10:30",4318,3.76487252124646,"Wednesday"
"113","11:00",9715,3.79303482587065,"Wednesday"
"11.52","11:30",10480,3.78796361091673,"Wednesday"
"122","12:00",11251,3.79602510460251,"Wednesday"
"12.52","12:30",11258,3.84869169510808,"Wednesday"
"132","13:00",11355,3.85517873510541,"Wednesday"
"13.52","13:30",11340,3.81239114207514,"Wednesday"
"142","14:00",11521,3.88825591586328,"Wednesday"
"14.52","14:30",11423,3.87994516255386,"Wednesday"
"152","15:00",11918,3.88847858197932,"Wednesday"
"15.52","15:30",11787,3.90188679245283,"Wednesday"
"162","16:00",13091,3.91456016177958,"Wednesday"
"16.52","16:30",13232,3.88768519993628,"Wednesday"
"172","17:00",14308,3.92084639498433,"Wednesday"
"17.52","17:30",14068,3.87736415490844,"Wednesday"
"182","18:00",14116,3.93051224944321,"Wednesday"
"18.52","18:30",13476,3.8823098343837,"Wednesday"
"192","19:00",13478,3.89540740740741,"Wednesday"
"19.52","19:30",12596,3.89649173673529,"Wednesday"
"202","20:00",12548,3.92556014150943,"Wednesday"
"20.52","20:30",11333,3.88204736440031,"Wednesday"
"212","21:00",11172,3.90300482640511,"Wednesday"
"21.52","21:30",8676,3.8874921433061,"Wednesday"
"222","22:00",8159,3.90177287973167,"Wednesday"
"22.52","22:30",5225,3.88440616500453,"Wednesday"
"232","23:00",5109,3.89591567852437,"Wednesday"
"23.52","23:30",3965,3.86113011355863,"Wednesday"
"04","00:00",3076,3.84550221863655,"Thursday"
"0.54","00:30",2492,3.83479607640681,"Thursday"
"116","01:00",2250,3.81257042694378,"Thursday"
"1.54","01:30",889,3.83826794966691,"Thursday"
"27","02:00",862,3.82721212913345,"Thursday"
"2.54","02:30",248,3.82028710725894,"Thursday"
"34","03:00",240,3.82643871164708,"Thursday"
"3.54","03:30",191,3.81569437274135,"Thursday"
"44","04:00",204,3.83248730964467,"Thursday"
"4.54","04:30",197,3.82919488337096,"Thursday"
